OS Benchmark experiment
Test Name:,4.14.15-faultaround-patch,
       ref          kbest:,0.000000023,
       ref        average:,0.000000026,
       cpu          kbest:,0.002558861,
       cpu        average:,0.002561349,
    getpid          kbest:,0.000000229,
    getpid        average:,0.000000234,
context siwtch          kbest:,0.000003078,
context siwtch        average:,0.000003132,
      send          kbest:,0.000000920,
      send        average:,0.000001415,
      recv          kbest:,0.000000698,
      recv        average:,0.000001612,
  big send          kbest:,0.000008950,
  big send        average:,0.000017490,
  big recv          kbest:,0.000017617,
  big recv        average:,0.000023611,
      fork          kbest:,0.000093530,
      fork       average:,0.000144275,
      fork    Child kbest:,0.000134225,
      fork Child average:,0.000210082,
thr create          kbest:,0.000008389,
thr create       average:,0.000015208,
thr create    Child kbest:,0.000013259,
thr create Child average:,0.000026928,
  big fork          kbest:,0.001469772,
  big fork       average:,0.002385307,
  big fork    Child kbest:,0.001560226,
  big fork Child average:,0.002482468,
 huge fork          kbest:,0.002919343,
 huge fork       average:,0.005709663,
 huge fork    Child kbest:,0.002979156,
 huge fork Child average:,0.005819174,
small write          kbest:,0.000000897,
small write        average:,0.000000964,
small read          kbest:,0.000000454,
small read        average:,0.000000482,
small mmap          kbest:,0.000000582,
small mmap        average:,0.000000604,
small munmap          kbest:,0.000001027,
small munmap        average:,0.000001078,
small page fault          kbest:,0.000000706,
small page fault        average:,0.000000737,
 mid write          kbest:,0.000005637,
 mid write        average:,0.000005834,
  mid read          kbest:,0.000002483,
  mid read        average:,0.000002620,
  mid mmap          kbest:,0.000000562,
  mid mmap        average:,0.000000578,
mid munmap          kbest:,0.000004155,
mid munmap        average:,0.000004265,
mid page fault          kbest:,0.000000726,
mid page fault        average:,0.000000771,
 big write          kbest:,0.000592177,
 big write        average:,0.000595553,
  big read          kbest:,0.000293168,
  big read        average:,0.000294555,
  big mmap          kbest:,0.000000596,
  big mmap        average:,0.000000632,
big munmap          kbest:,0.000113814,
big munmap        average:,0.000114358,
big page fault          kbest:,0.000000867,
big page fault        average:,0.000000894,
huge write          kbest:,0.013444978,
huge write        average:,0.013891020,
 huge read          kbest:,0.019023925,
 huge read        average:,0.019584902,
 huge mmap          kbest:,0.000000570,
 huge mmap        average:,0.000000709,
huge munmap          kbest:,0.001265821,
huge munmap        average:,0.001307933,
huge page fault          kbest:,0.000000897,
huge page fault        average:,0.000000973,
    select          kbest:,0.000000995,
    select        average:,0.000001078,
      poll          kbest:,0.000000888,
      poll        average:,0.000001025,
     epoll          kbest:,0.000000892,
     epoll        average:,0.000000991,
select big          kbest:,0.000089956,
select big        average:,0.000101499,
  poll big          kbest:,0.000089486,
  poll big        average:,0.000101209,
 epoll big          kbest:,0.000088461,
 epoll big        average:,0.000099072,
