OS Benchmark experiment
Test Name:,4.14.15-no-huge-pages,
       ref          kbest:,0.000000023,
       ref        average:,0.000000025,
       cpu          kbest:,0.002558860,
       cpu        average:,0.002561078,
    getpid          kbest:,0.000000231,
    getpid        average:,0.000000234,
context siwtch          kbest:,0.000002954,
context siwtch        average:,0.000003281,
      send          kbest:,0.000000722,
      send        average:,0.000001441,
      recv          kbest:,0.000001015,
      recv        average:,0.000001631,
  big send          kbest:,0.000008979,
  big send        average:,0.000017662,
  big recv          kbest:,0.000014978,
  big recv        average:,0.000024065,
      fork          kbest:,0.000094799,
      fork       average:,0.000152529,
      fork    Child kbest:,0.000132649,
      fork Child average:,0.000224303,
thr create          kbest:,0.000009466,
thr create       average:,0.000015731,
thr create    Child kbest:,0.000013525,
thr create Child average:,0.000027146,
  big fork          kbest:,0.001533267,
  big fork       average:,0.002465048,
  big fork    Child kbest:,0.001645654,
  big fork Child average:,0.002570495,
 huge fork          kbest:,0.003076763,
 huge fork       average:,0.005937563,
 huge fork    Child kbest:,0.003160725,
 huge fork Child average:,0.006059215,
small write          kbest:,0.000000936,
small write        average:,0.000000992,
small read          kbest:,0.000000458,
small read        average:,0.000000484,
small mmap          kbest:,0.000000693,
small mmap        average:,0.000000727,
small munmap          kbest:,0.000001112,
small munmap        average:,0.000001152,
small page fault          kbest:,0.000000701,
small page fault        average:,0.000000729,
 mid write          kbest:,0.000005794,
 mid write        average:,0.000006034,
  mid read          kbest:,0.000002441,
  mid read        average:,0.000002570,
  mid mmap          kbest:,0.000000685,
  mid mmap        average:,0.000000708,
mid munmap          kbest:,0.000004239,
mid munmap        average:,0.000004323,
mid page fault          kbest:,0.000001189,
mid page fault        average:,0.000001219,
 big write          kbest:,0.000600369,
 big write        average:,0.000603978,
  big read          kbest:,0.000294587,
  big read        average:,0.000295745,
  big mmap          kbest:,0.000000687,
  big mmap        average:,0.000000722,
big munmap          kbest:,0.000114270,
big munmap        average:,0.000115088,
big page fault          kbest:,0.000001647,
big page fault        average:,0.000001698,
huge write          kbest:,0.013473378,
huge write        average:,0.013657980,
 huge read          kbest:,0.013778253,
 huge read        average:,0.013916939,
 huge mmap          kbest:,0.000000679,
 huge mmap        average:,0.000000714,
huge munmap          kbest:,0.001208980,
huge munmap        average:,0.001219922,
huge page fault          kbest:,0.000001720,
huge page fault        average:,0.000001770,
    select          kbest:,0.000001021,
    select        average:,0.000001163,
      poll          kbest:,0.000000947,
      poll        average:,0.000001051,
     epoll          kbest:,0.000000915,
     epoll        average:,0.000001057,
select big          kbest:,0.000091634,
select big        average:,0.000097928,
  poll big          kbest:,0.000090495,
  poll big        average:,0.000098765,
 epoll big          kbest:,0.000087244,
 epoll big        average:,0.000099285,
