OS Benchmark experiment
Test Name:,4.14.15-unpatched,
       ref          kbest:,0.000000023,
       ref        average:,0.000000025,
       cpu          kbest:,0.002558861,
       cpu        average:,0.002560419,
    getpid          kbest:,0.000000229,
    getpid        average:,0.000000233,
context siwtch          kbest:,0.000003083,
context siwtch        average:,0.000003139,
      send          kbest:,0.000000575,
      send        average:,0.000001417,
      recv          kbest:,0.000001183,
      recv        average:,0.000001621,
  big send          kbest:,0.000008642,
  big send        average:,0.000017606,
  big recv          kbest:,0.000018660,
  big recv        average:,0.000023914,
      fork          kbest:,0.000096493,
      fork       average:,0.000145739,
      fork    Child kbest:,0.000136697,
      fork Child average:,0.000214350,
thr create          kbest:,0.000008601,
thr create       average:,0.000015534,
thr create    Child kbest:,0.000013057,
thr create Child average:,0.000026560,
  big fork          kbest:,0.001444091,
  big fork       average:,0.002399811,
  big fork    Child kbest:,0.001530121,
  big fork Child average:,0.002501920,
 huge fork          kbest:,0.003027416,
 huge fork       average:,0.005770721,
 huge fork    Child kbest:,0.003102835,
 huge fork Child average:,0.005891753,
small write          kbest:,0.000000900,
small write        average:,0.000000985,
small read          kbest:,0.000000451,
small read        average:,0.000000479,
small mmap          kbest:,0.000000571,
small mmap        average:,0.000000586,
small munmap          kbest:,0.000001005,
small munmap        average:,0.000001039,
small page fault          kbest:,0.000000681,
small page fault        average:,0.000000723,
 mid write          kbest:,0.000005606,
 mid write        average:,0.000005827,
  mid read          kbest:,0.000002461,
  mid read        average:,0.000002599,
  mid mmap          kbest:,0.000000563,
  mid mmap        average:,0.000000578,
mid munmap          kbest:,0.000004105,
mid munmap        average:,0.000004201,
mid page fault          kbest:,0.000001123,
mid page fault        average:,0.000001155,
 big write          kbest:,0.000591158,
 big write        average:,0.000595948,
  big read          kbest:,0.000293749,
  big read        average:,0.000295234,
  big mmap          kbest:,0.000000586,
  big mmap        average:,0.000000608,
big munmap          kbest:,0.000114108,
big munmap        average:,0.000114633,
big page fault          kbest:,0.000001634,
big page fault        average:,0.000001716,
huge write          kbest:,0.013545164,
huge write        average:,0.014244140,
 huge read          kbest:,0.019148599,
 huge read        average:,0.020178568,
 huge mmap          kbest:,0.000000567,
 huge mmap        average:,0.000000576,
huge munmap          kbest:,0.001177139,
huge munmap        average:,0.001212272,
huge page fault          kbest:,0.000001634,
huge page fault        average:,0.000001704,
    select          kbest:,0.000000998,
    select        average:,0.000001073,
      poll          kbest:,0.000000876,
      poll        average:,0.000000941,
     epoll          kbest:,0.000000896,
     epoll        average:,0.000001015,
select big          kbest:,0.000091059,
select big        average:,0.000100288,
  poll big          kbest:,0.000089670,
  poll big        average:,0.000100987,
 epoll big          kbest:,0.000089674,
 epoll big        average:,0.000101358,
