OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000023,
       ref        average:,0.000000025,
       cpu          kbest:,0.002558864,
       cpu        average:,0.002561503,
    getpid          kbest:,0.000000448,
    getpid        average:,0.000000454,
context siwtch          kbest:,0.000003969,
context siwtch        average:,0.000004637,
      send          kbest:,0.000000960,
      send        average:,0.000002078,
      recv          kbest:,0.000000817,
      recv        average:,0.000002136,
  big send          kbest:,0.000006444,
  big send        average:,0.000017206,
  big recv          kbest:,0.000011508,
  big recv        average:,0.000022356,
      fork          kbest:,0.000108436,
      fork       average:,0.000187248,
      fork    Child kbest:,0.000164020,
      fork Child average:,0.000282796,
thr create          kbest:,0.000012278,
thr create       average:,0.000019999,
thr create    Child kbest:,0.000018521,
thr create Child average:,0.000029179,
  big fork          kbest:,0.002272822,
  big fork       average:,0.003091556,
  big fork    Child kbest:,0.002395417,
  big fork Child average:,0.003213236,
 huge fork          kbest:,0.005455083,
 huge fork       average:,0.007412437,
 huge fork    Child kbest:,0.005584922,
 huge fork Child average:,0.007546826,
small write          kbest:,0.000001227,
small write        average:,0.000001307,
small read          kbest:,0.000000684,
small read        average:,0.000000703,
small mmap          kbest:,0.000000857,
small mmap        average:,0.000000884,
small munmap          kbest:,0.000001321,
small munmap        average:,0.000001353,
small page fault          kbest:,0.000000891,
small page fault        average:,0.000000934,
 mid write          kbest:,0.000006113,
 mid write        average:,0.000006304,
  mid read          kbest:,0.000002646,
  mid read        average:,0.000002815,
  mid mmap          kbest:,0.000000842,
  mid mmap        average:,0.000000863,
mid munmap          kbest:,0.000004411,
mid munmap        average:,0.000004539,
mid page fault          kbest:,0.000001391,
mid page fault        average:,0.000001426,
 big write          kbest:,0.000611597,
 big write        average:,0.000615843,
  big read          kbest:,0.000298616,
  big read        average:,0.000300183,
  big mmap          kbest:,0.000000922,
  big mmap        average:,0.000000970,
big munmap          kbest:,0.000104828,
big munmap        average:,0.000105952,
big page fault          kbest:,0.000001952,
big page fault        average:,0.000002511,
huge write          kbest:,0.013593939,
huge write        average:,0.013794569,
 huge read          kbest:,0.019478852,
 huge read        average:,0.020294262,
 huge mmap          kbest:,0.000000908,
 huge mmap        average:,0.000000932,
huge munmap          kbest:,0.001106074,
huge munmap        average:,0.001147140,
huge page fault          kbest:,0.000001947,
huge page fault        average:,0.000002322,
    select          kbest:,0.000001262,
    select        average:,0.000001361,
      poll          kbest:,0.000001150,
      poll        average:,0.000001212,
     epoll          kbest:,0.000001140,
     epoll        average:,0.000001276,
select big          kbest:,0.000093125,
select big        average:,0.000100635,
  poll big          kbest:,0.000092865,
  poll big        average:,0.000099143,
 epoll big          kbest:,0.000092191,
 epoll big        average:,0.000099608,
