OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000023,
       ref        average:,0.000000025,
       cpu          kbest:,0.002558862,
       cpu        average:,0.002560784,
    getpid          kbest:,0.000000435,
    getpid        average:,0.000000440,
context siwtch          kbest:,0.000004008,
context siwtch        average:,0.000004631,
      send          kbest:,0.000000850,
      send        average:,0.000001998,
      recv          kbest:,0.000001373,
      recv        average:,0.000002146,
  big send          kbest:,0.000007052,
  big send        average:,0.000017062,
  big recv          kbest:,0.000011473,
  big recv        average:,0.000023354,
      fork          kbest:,0.000090315,
      fork       average:,0.000193315,
      fork    Child kbest:,0.000162540,
      fork Child average:,0.000288348,
thr create          kbest:,0.000011287,
thr create       average:,0.000020201,
thr create    Child kbest:,0.000015860,
thr create Child average:,0.000029045,
  big fork          kbest:,0.002321437,
  big fork       average:,0.003057411,
  big fork    Child kbest:,0.002607179,
  big fork Child average:,0.003183117,
 huge fork          kbest:,0.004401227,
 huge fork       average:,0.007443547,
 huge fork    Child kbest:,0.004520524,
 huge fork Child average:,0.007578831,
small write          kbest:,0.000001179,
small write        average:,0.000001255,
small read          kbest:,0.000000668,
small read        average:,0.000000696,
small mmap          kbest:,0.000000810,
small mmap        average:,0.000000850,
small munmap          kbest:,0.000001292,
small munmap        average:,0.000001327,
small page fault          kbest:,0.000000878,
small page fault        average:,0.000000900,
 mid write          kbest:,0.000006058,
 mid write        average:,0.000006214,
  mid read          kbest:,0.000002605,
  mid read        average:,0.000002716,
  mid mmap          kbest:,0.000000801,
  mid mmap        average:,0.000000830,
mid munmap          kbest:,0.000004419,
mid munmap        average:,0.000004593,
mid page fault          kbest:,0.000001363,
mid page fault        average:,0.000001397,
 big write          kbest:,0.000604345,
 big write        average:,0.000607032,
  big read          kbest:,0.000292583,
  big read        average:,0.000293824,
  big mmap          kbest:,0.000000805,
  big mmap        average:,0.000000846,
big munmap          kbest:,0.000105576,
big munmap        average:,0.000106717,
big page fault          kbest:,0.000001913,
big page fault        average:,0.000002536,
huge write          kbest:,0.013494595,
huge write        average:,0.013635024,
 huge read          kbest:,0.019703923,
 huge read        average:,0.019801635,
 huge mmap          kbest:,0.000000800,
 huge mmap        average:,0.000000835,
huge munmap          kbest:,0.001122229,
huge munmap        average:,0.001196167,
huge page fault          kbest:,0.000001920,
huge page fault        average:,0.000002344,
    select          kbest:,0.000001244,
    select        average:,0.000001338,
      poll          kbest:,0.000001142,
      poll        average:,0.000001228,
     epoll          kbest:,0.000001135,
     epoll        average:,0.000001212,
select big          kbest:,0.000092872,
select big        average:,0.000102420,
  poll big          kbest:,0.000092943,
  poll big        average:,0.000101490,
 epoll big          kbest:,0.000091745,
 epoll big        average:,0.000098998,
